file,case,expected_car,expected_noisy,pred_car,car_prob,pred_noisy,noisy_prob,latency,error
slice_256.wav,Voitures normales,True,False,True,0.8276896476745605,False,0.015571004711091518,0.23404812812805176,False
slice_096.wav,Voitures normales,True,False,True,0.9689924120903015,False,7.454922096306049e-12,0.21559667587280273,False
slice_184.wav,Voitures normales,True,False,True,0.9855139255523682,False,3.72032671336342e-09,0.20073223114013672,False
slice_22783.wav,Bruit / pas voiture,False,,False,0.06281046569347382,,,0.045686960220336914,False
slice_17230.wav,Bruit / pas voiture,False,,False,0.04240019619464874,,,0.04066658020019531,False
slice_23907.wav,Bruit / pas voiture,False,,False,0.01948751136660576,,,0.04443645477294922,False
slice_20156.wav,Bruit / pas voiture,False,,False,0.0882488414645195,,,0.052120208740234375,False
slice_17437.wav,Bruit / pas voiture,False,,False,0.021996814757585526,,,0.04343914985656738,False
slice_23981.wav,Bruit / pas voiture,False,,False,0.009996592067182064,,,0.042833805084228516,False
slice_26692.wav,Bruit / pas voiture,False,,False,0.24127888679504395,,,0.04057717323303223,False
slice_20878.wav,Bruit / pas voiture,False,,False,0.016627589240670204,,,0.04377150535583496,False
slice_26140.wav,Bruit / pas voiture,False,,False,0.1106063649058342,,,0.046976566314697266,False
slice_19861.wav,Bruit / pas voiture,False,,False,0.014929501339793205,,,0.05419802665710449,False
slice_20476.wav,Bruit / pas voiture,False,,False,0.07200975716114044,,,0.045720815658569336,False
slice_20511.wav,Bruit / pas voiture,False,,False,0.010821148753166199,,,0.05390286445617676,False
slice_18175.wav,Bruit / pas voiture,False,,False,0.033831775188446045,,,0.05298757553100586,False
slice_27784.wav,Bruit / pas voiture,False,,False,0.013004439882934093,,,0.04015707969665527,False
slice_27984.wav,Bruit / pas voiture,False,,False,0.014082774519920349,,,0.051946163177490234,False
slice_25588.wav,Bruit / pas voiture,False,,False,0.024763623252511024,,,0.041512489318847656,False
slice_21331.wav,Bruit / pas voiture,False,,False,0.0172874853014946,,,0.04790544509887695,False
slice_25743.wav,Bruit / pas voiture,False,,False,0.01238310243934393,,,0.04693245887756348,False
slice_25612.wav,Bruit / pas voiture,False,,False,0.02182326279580593,,,0.052855491638183594,False
slice_17103.wav,Bruit / pas voiture,False,,False,0.06281089782714844,,,0.044748544692993164,False
slice_23853.wav,Bruit / pas voiture,False,,False,0.00929551012814045,,,0.04489922523498535,False
slice_27640.wav,Bruit / pas voiture,False,,False,0.008208469487726688,,,0.04270648956298828,False
slice_19845.wav,Bruit / pas voiture,False,,False,0.12329771369695663,,,0.05386948585510254,False
slice_23265.wav,Bruit / pas voiture,False,,False,0.05922001227736473,,,0.04613137245178223,False
slice_22007.wav,Bruit / pas voiture,False,,False,0.09099148958921432,,,0.044974327087402344,False
slice_21859.wav,Bruit / pas voiture,False,,False,0.02225663512945175,,,0.05767560005187988,False
slice_26890.wav,Bruit / pas voiture,False,,False,0.06486577540636063,,,0.04105257987976074,False
slice_16406.wav,Bruit / pas voiture,False,,False,0.024715589359402657,,,0.04188084602355957,False
slice_17333.wav,Bruit / pas voiture,False,,False,0.018427228555083275,,,0.04195547103881836,False
slice_21694.wav,Bruit / pas voiture,False,,False,0.020272890105843544,,,0.04285001754760742,False
slice_18661.wav,Bruit / pas voiture,False,,False,0.06641290336847305,,,0.04394984245300293,False
slice_21586.wav,Bruit / pas voiture,False,,False,0.10958722978830338,,,0.04276108741760254,False
slice_27254.wav,Bruit / pas voiture,False,,False,0.028706595301628113,,,0.05309319496154785,False
slice_25404.wav,Bruit / pas voiture,False,,False,0.04502236098051071,,,0.05209970474243164,False
slice_21862.wav,Bruit / pas voiture,False,,False,0.012080412358045578,,,0.05414605140686035,False
slice_27781.wav,Bruit / pas voiture,False,,False,0.020091738551855087,,,0.043230295181274414,False
slice_17871.wav,Bruit / pas voiture,False,,False,0.01199856773018837,,,0.04903912544250488,False
slice_24369.wav,Bruit / pas voiture,False,,False,0.07402850687503815,,,0.03966522216796875,False
slice_24695.wav,Bruit / pas voiture,False,,False,0.046800341457128525,,,0.04179024696350098,False
slice_22344.wav,Bruit / pas voiture,False,,False,0.014357226900756359,,,0.0409083366394043,False
slice_22378.wav,Bruit / pas voiture,False,,False,0.01264551468193531,,,0.04321551322937012,False
slice_23097.wav,Bruit / pas voiture,False,,False,0.09944535791873932,,,0.04491853713989258,False
slice_26167.wav,Bruit / pas voiture,False,,False,0.020205117762088776,,,0.03970766067504883,False
slice_16924.wav,Bruit / pas voiture,False,,False,0.011248473078012466,,,0.0437471866607666,False
slice_23453.wav,Bruit / pas voiture,False,,False,0.016563013195991516,,,0.043489694595336914,False
slice_17049.wav,Bruit / pas voiture,False,,False,0.017264526337385178,,,0.04423356056213379,False
slice_17061.wav,Bruit / pas voiture,False,,False,0.034726306796073914,,,0.04728817939758301,False
slice_18125.wav,Bruit / pas voiture,False,,False,0.0131505336612463,,,0.04553675651550293,False
slice_18718.wav,Bruit / pas voiture,False,,False,0.015216655097901821,,,0.05017709732055664,False
slice_15684.wav,Bruit / pas voiture,False,,False,0.1425153911113739,,,0.04360771179199219,False
slice_248.wav,Voitures (car_det),True,,True,0.9887208342552185,False,1.5363730199169368e-05,0.20555830001831055,False
slice_064.wav,Voitures (car_det),True,,True,0.943727433681488,False,1.7821211173441043e-08,0.20091867446899414,False
slice_1798.wav,Voitures (car_det),True,,True,0.9988558888435364,True,0.9999998807907104,0.08605170249938965,False
slice_1439.wav,Voitures (car_det),True,,True,0.9923501014709473,True,0.9999998807907104,0.10194826126098633,False
slice_257.wav,Voitures (car_det),True,,True,0.97697913646698,False,5.2801649275124873e-08,0.22315669059753418,False
slice_659.wav,Voitures (car_det),True,,False,0.2897847294807434,,,0.04117012023925781,False
slice_1530.wav,Voitures (car_det),True,,True,0.9950819611549377,True,1.0,0.08980441093444824,False
slice_2021.wav,Voitures (car_det),True,,True,0.9973402619361877,True,1.0,0.08892607688903809,False
slice_598.wav,Voitures (car_det),True,,True,0.7421446442604065,False,0.11870233714580536,0.087249755859375,False
slice_1897.wav,Voitures (car_det),True,,True,0.9951780438423157,True,1.0,0.09779739379882812,False
slice_563.wav,Voitures (car_det),True,,True,0.7589605450630188,False,1.2419311133271549e-05,0.10750818252563477,False
slice_502.wav,Voitures (car_det),True,,True,0.5122337341308594,False,0.0001101548841688782,0.0898895263671875,False
slice_1905.wav,Voitures (car_det),True,,True,0.9970759749412537,True,0.9999994039535522,0.08673977851867676,False
slice_1412.wav,Voitures (car_det),True,,True,0.9541240334510803,True,1.0,0.08818483352661133,False
slice_1585.wav,Voitures (car_det),True,,True,0.9984514713287354,True,1.0,0.09412980079650879,False
