name,score
mel_very_low_mean,0.003050203742166661
f0_std,0.0030302529357212893
delta_mfcc_13_std,0.003010264940361253
mfcc_16_mean,0.0030098908379161946
spectral_flux_mean,0.0029614460628983523
mfcc_1_std,0.0029609428923243726
mfcc_15_std,0.0029504749634589964
spectral_bandwidth_mean,0.002879643280046047
zcr_std,0.0028479911012734183
mfcc_10_std,0.0028298767496822974
estimated_rpm,0.0028081116540878
delta2_mfcc_10_mean,0.002791290329000573
mfcc_9_std,0.0027805882496291416
spectral_flux_std,0.002767638835399573
mfcc_29_mean,0.0027262309375109275
chroma_8_mean,0.0026083202587258146
perc_mean,0.002600633010076369
spectral_flatness_std,0.002590127286722564
spectral_contrast_std,0.002589506979122658
rms_variation_mean,0.0025683176341539404
db_mean,0.0025393858404460738
mfcc_5_mean,0.002534078129937603
mfcc_11_mean,0.0025010747496821044
voiced_ratio,0.002466825891034777
spectral_contrast_max,0.002455226822755727
mfcc_18_mean,0.0024461871036372393
hnr_db,0.0024202401113409848
spectral_peaks_mean_height,0.0023829167987840716
onset_max,0.0023808573643994907
mfcc_20_std,0.002337683454954504
rms_std,0.0023305162899180084
mfcc_37_std,0.0023051276385339563
delta_mfcc_11_mean,0.0023012046646242895
delta2_mfcc_12_mean,0.0023003846178908404
mfcc_23_std,0.002281323587286026
db_peaks_count,0.0022557743842273347
spectral_contrast_mean,0.002245701448568502
harm_std,0.002209873764308085
mfcc_5_std,0.002184755950953557
mfcc_7_mean,0.0021669308149305394
delta_mfcc_10_mean,0.0021388853486339686
spectral_rolloff_95_std,0.002138469630208304
mfcc_17_std,0.0021379439970523662
mfcc_17_mean,0.002130947952475522
rms_variation_max,0.0021225389616196157
mfcc_12_std,0.0021070762559317635
mfcc_13_std,0.002102917368509703
hnr_mean,0.0020965846860875113
mfcc_33_std,0.002067288077963587
harm_mean,0.00205658792379866
db_std,0.002025148128373822
crest_factor,0.00199778595927358
chroma_3_mean,0.0019929390929494394
mfcc_39_std,0.001960965743310239
perc_harm_ratio,0.0019484325978096294
very_low_freq_energy,0.0019107254220786785
delta2_mfcc_7_mean,0.0019103961501894429
db_max,0.0018947053916484843
perc_std,0.0018803700737054362
delta_mfcc_12_mean,0.0018637143776326914
delta2_mfcc_9_mean,0.0018257053027958164
db_min,0.0018157303121191471
psd_low_high_ratio,0.0018018437116469092
chroma_7_mean,0.0017571126672248582
delta_mfcc_7_std,0.0017544079405885352
mfcc_21_std,0.0017532682501495327
delta_mfcc_7_mean,0.0017419569337294605
mel_mid_mean,0.0017274257840990393
chroma_5_mean,0.001709806616993542
mfcc_4_std,0.0016963705185390498
spectral_peaks_max_height,0.001688027200588467
mid_freq_energy,0.001680652850399466
db_peaks_ratio,0.0016741953913779139
mel_very_low_std,0.0016430127888072354
mfcc_6_mean,0.0016138253725811445
mfcc_18_std,0.0015978599129112903
mfcc_38_std,0.001551667728191485
mfcc_16_std,0.0015393936864061453
spectral_flux_max,0.0014925929958490972
delta_mfcc_9_mean,0.001491219035406759
harm_perc_ratio,0.0014697272220877983
delta2_mfcc_8_mean,0.001454989877429167
mfcc_40_std,0.0014273354972825284
